"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.431588335E-1,9.671388245E-1,2.589614868E0,9.267378387E0,9.670871980E0
6.531898335E-1,9.217831421E-1,2.390977936E0,9.426198120E0,9.768299271E0
6.632218333E-1,9.481283569E-1,2.230511627E0,9.559421082E0,9.861879178E0
6.732538333E-1,1.094224548E0,2.051034851E0,9.689799957E0,9.964752608E0
6.832858333E-1,1.770218811E0,1.892963562E0,1.053973251E1,1.085370661E1
6.933178334E-1,3.952380981E0,2.063159637E0,1.406744659E1,1.475706600E1
7.033498334E-1,3.570075989E0,1.744172974E0,1.210248276E1,1.273804031E1
7.133818334E-1,4.190535736E0,1.666185150E0,1.270737488E1,1.348384734E1
7.234138334E-1,2.067500610E0,1.811233521E0,1.104777603E1,1.138457206E1
7.334448334E-1,4.290078735E-1,1.956132202E0,9.053622894E0,9.272463991E0
7.434768334E-1,4.358935547E-1,2.116448822E0,9.164392548E0,9.415702288E0
7.535088335E-1,7.689509583E-1,2.113455048E0,9.765093384E0,1.002072984E1
7.635408335E-1,1.238524475E0,2.031275940E0,9.650880890E0,9.939795107E0
7.735728335E-1,1.619332581E0,1.997745667E0,8.994795227E0,9.355189305E0
7.836048333E-1,1.866618347E0,2.036664734E0,8.269852753E0,8.719101550E0
7.936369583E-1,1.906734924E0,2.035317535E0,7.966134338E0,8.440228186E0
8.036689584E-1,1.497336273E0,2.013163605E0,7.904462585E0,8.293091847E0
8.137009584E-1,4.011657715E-1,2.119891663E0,6.696923676E0,7.035883836E0
8.237319584E-1,-9.135502625E-1,2.214644623E0,5.238356781E0,5.760174186E0
8.337639584E-1,3.965254211E-1,3.235671387E0,6.320007477E0,7.111209197E0
8.437959584E-1,1.609004059E0,3.908222809E0,5.781876526E0,7.161926818E0
8.538279585E-1,1.770967255E0,3.537743225E0,4.831951904E0,6.244974888E0
8.638599585E-1,1.256636810E0,2.909349976E0,4.488416290E0,5.494482155E0
8.738919585E-1,2.380050659E-2,2.205962677E0,7.199578400E0,7.529991164E0
8.839239585E-1,1.819167023E0,1.967508545E0,1.444795532E1,1.469434829E1
8.939559583E-1,3.671564941E0,2.035916290E0,1.451441711E1,1.510938941E1
9.039879583E-1,4.503834229E0,2.440524902E0,1.299298096E1,1.396632517E1
9.140189583E-1,2.117796021E0,2.076781311E0,1.094643677E1,1.134118858E1
9.240509584E-1,1.198557587E0,1.807341614E0,9.956096191E0,1.018954736E1
9.340829584E-1,1.028660889E0,1.911225586E0,8.652008057E0,8.920099208E0
9.441149584E-1,1.710493011E0,2.363584900E0,7.530839539E0,8.076253096E0
9.541469584E-1,3.324137421E0,2.742447052E0,7.793842621E0,8.905890647E0
9.641789584E-1,4.232598267E0,2.512674866E0,8.052654419E0,9.437884628E0
9.742109585E-1,3.678151245E0,1.883832550E0,7.787705383E0,8.816233708E0
9.842429585E-1,2.903063049E0,1.440155182E0,7.811206512E0,8.456758788E0
9.942749585E-1,2.675236816E0,1.400487671E0,8.371341705E0,8.899304450E0
1.004305959E0,2.809058533E0,1.485510864E0,9.031019897E0,9.573759594E0
1.014337958E0,3.106939087E0,1.482068024E0,9.602681122E0,1.020103332E1
1.024369958E0,3.426823883E0,1.372196503E0,9.991722107E0,1.065178651E1
1.034401958E0,3.652404785E0,1.190923462E0,1.010084518E1,1.080673090E1
1.044433958E0,3.859274597E0,9.696835327E-1,1.033675461E1,1.107622600E1
1.054465958E0,3.974834290E0,7.548802185E-1,1.048524582E1,1.123875134E1
1.064497958E0,3.326233063E0,9.238787842E-1,1.062385757E1,1.117066373E1
1.074529958E0,1.595831451E0,1.408570862E0,1.017748581E1,1.039769048E1
1.084561958E0,2.878514099E-1,1.398841095E0,9.930499420E0,1.003266832E1
1.094592958E0,-2.133962402E0,1.663790131E0,8.477471008E0,8.898848680E0
1.104624958E0,-2.318827972E0,1.426234131E0,9.114695892E0,9.512559496E0
1.114656958E0,-1.005159760E0,1.453627167E0,1.072624466E1,1.087086485E1
1.124688959E0,-2.929408264E-1,1.651515656E0,1.170056854E1,1.182017862E1
1.134720958E0,4.453239441E-1,1.715432739E0,1.215173035E1,1.228029207E1
1.144752958E0,6.830296326E-1,1.638792114E0,1.170206543E1,1.183598346E1
1.154784958E0,5.432203674E-1,1.377585297E0,1.084734283E1,1.094795306E1
1.164816958E0,3.333567810E-1,1.045575714E0,9.957144012E0,1.001743841E1
1.174847958E0,3.118016052E-1,7.776329041E-1,9.340127106E0,9.377628033E0
1.184879958E0,5.911207581E-1,6.674620056E-1,9.140741730E0,9.184121550E0
1.194911958E0,1.047371979E0,7.173083496E-1,9.331295471E0,9.417249837E0
1.204943958E0,1.325493622E0,8.122109985E-1,9.596693573E0,9.721787263E0
1.214975958E0,1.442699890E0,8.774752808E-1,9.722282410E0,9.867832644E0
1.225007958E0,1.487456818E0,9.780661011E-1,9.713750153E0,9.875529510E0
1.235039958E0,1.523980865E0,1.019230499E0,9.855804749E0,1.002488083E1
1.245071959E0,1.484463043E0,9.527687073E-1,1.022403900E1,1.037508420E1
1.255103958E0,1.424587555E0,8.666976929E-1,1.068642746E1,1.081574530E1
1.265134958E0,1.453926544E0,7.982899475E-1,1.131122818E1,1.143219367E1
1.275166958E0,1.566043396E0,7.376660156E-1,1.195818283E1,1.208282995E1
1.285198958E0,1.669178925E0,6.421646118E-1,1.249616409E1,1.262349598E1
1.295230958E0,1.713636475E0,5.963598633E-1,1.278446457E1,1.291258028E1
1.305262958E0,1.681603088E0,5.743556213E-1,1.299372940E1,1.311467411E1
1.315294958E0,1.593885498E0,5.161267090E-1,1.314341812E1,1.324976595E1
1.325326958E0,1.502575378E0,4.737648010E-1,1.323338104E1,1.332683607E1
1.335358958E0,1.334774323E0,5.164260864E-1,1.316422485E1,1.324179498E1
