"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.405067500E-1,-2.188898163E0,5.551804962E0,9.160500641E0,1.093291295E1
6.505297500E-1,-1.254391479E0,6.207890625E0,1.042147842E1,1.219502425E1
6.605517500E-1,-1.115031281E0,6.429280243E0,1.149175278E1,1.321511714E1
6.705747500E-1,-9.898915100E-1,5.997727661E0,1.214379684E1,1.358029543E1
6.805977500E-1,6.297404480E-1,5.008135529E0,1.248628464E1,1.346793594E1
6.906197500E-1,1.795366516E0,4.111799469E0,1.249541565E1,1.327650737E1
7.006427500E-1,1.865420837E0,3.520079956E0,1.164847687E1,1.231088019E1
7.106657500E-1,1.199755096E0,3.534001007E0,1.129491211E1,1.189552920E1
7.206877500E-1,1.511856079E-1,4.105662231E0,1.076965439E1,1.152669836E1
7.307107500E-1,-5.432203674E-1,4.890180817E0,1.025427612E1,1.137361577E1
7.407337500E-1,-7.545808411E-1,5.567971344E0,9.962832184E0,1.143808211E1
7.507557500E-1,-8.319699097E-1,5.825735321E0,1.023421783E1,1.180553178E1
7.607787500E-1,-7.970924377E-1,5.720055084E0,1.102083206E1,1.244239229E1
7.708017500E-1,1.767823792E-1,5.232069855E0,1.152228928E1,1.265578750E1
7.808237500E-1,2.354304199E0,4.425846405E0,1.152917496E1,1.257190279E1
7.908467500E-1,2.172582092E0,3.934568024E0,1.160641434E1,1.244627624E1
8.008697500E-1,1.490749969E0,4.177961884E0,1.104104004E1,1.189883465E1
8.108927500E-1,1.203048248E0,4.086352386E0,9.885892181E0,1.076459312E1
8.209147500E-1,9.304650879E-1,3.415148163E0,8.398435364E0,9.113875071E0
8.309377500E-1,5.911207581E-1,2.728076935E0,6.822362823E0,7.371327018E0
8.409607500E-1,1.126856689E0,2.511926422E0,6.714287567E0,7.256806314E0
8.509827500E-1,2.119292908E0,2.707569580E0,7.230114899E0,8.006053766E0
8.610057500E-1,3.108885040E0,2.614612885E0,7.476352844E0,8.508655510E0
8.710287500E-1,3.950285339E0,2.330653381E0,7.828720093E0,9.073343250E0
8.810507500E-1,4.779111786E0,2.512375488E0,7.879913635E0,9.552223770E0
8.910737500E-1,4.910239105E0,2.565664673E0,7.949818268E0,9.689824239E0
9.010967500E-1,5.102589111E0,2.278262329E0,7.663613434E0,9.484612050E0
9.111187500E-1,5.402565308E0,2.036215668E0,7.020850067E0,9.089896689E0
9.211417500E-1,5.443580017E0,1.967209167E0,6.666985931E0,8.828996360E0
9.311647500E-1,5.464386749E0,1.974693604E0,6.550827484E0,8.756270787E0
9.411867500E-1,5.413043518E0,2.082469482E0,6.288423157E0,8.554646987E0
9.512097500E-1,5.812562714E0,2.223625946E0,5.780379639E0,8.493714524E0
9.612327500E-1,6.562353516E0,2.227966919E0,4.859794006E0,8.464391180E0
9.712547500E-1,6.822063446E0,2.645897827E0,4.020040283E0,8.348775291E0
9.812777500E-1,6.569987640E0,3.053649902E0,3.447780304E0,8.023509478E0
9.913007500E-1,6.157445526E0,3.243604889E0,3.132685547E0,7.632091903E0
1.001322750E0,5.998625793E0,3.090473328E0,2.909349976E0,7.348391258E0
1.011345750E0,5.662275238E0,2.959046631E0,2.907703400E0,7.019405737E0
1.021368750E0,5.608536987E0,3.250191193E0,2.943329315E0,7.119172521E0
1.031390750E0,6.246061249E0,3.999383240E0,2.809956665E0,7.931217049E0
